"SurveyID"	"GPSIndex"	"Sgt.ID"	"key"	"gpstimeutc"	"time_index"	"M.int"	"Event"	"SHIPLAT"	"SHIPLON"	"speed"	"port.visib"	"beauf"	"stbd.visib"	"precip"	"status"	"Final.T.ID"	"onseq_id"	"vessel"	"Platform"	"Side"	"Method"	"SightedBy"	"Horizon_C"	"Bearing.R"	"Bearing.T"	"Reticle"	"Distance"	"Ret_line"	"SD_nm"	"PSD_nm"	"final.lat"	"final.lon"	"Pos.type"	"Waters"	"Data.Qual"	"Species"	"BestNumber"	"MinNumber"	"MaxNumber"
"cemore_2021may"	1356	"S1b"	"cemore_2021may-1356-S1b"	2021-05-14 20:32:24	2021-05-14 13:32:21	-3	"Survey sighting"	48.90358	-123.175118333333	9.61	"G&E"	4	"G&E"	"Clear"	"ON"	"8"	2	"MB"	"Bo"	"Port"	"Bi"	"CMcMillan"	"unobstructed"	-21	70.71	1	NA	"HO"	0.15272573856325	0.0547320097717034	48.9044208238635	-123.17146328604	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	2	2	2
"cemore_2021may"	1977	"S3a"	"cemore_2021may-1977-S3a"	2021-05-14 22:07:47	2021-05-14 15:07:52	5	"Survey sighting"	48.75266	-123.164421666667	9.58	"G&E"	1	"G&E"	"Clear"	"ON"	"10"	6	"MB"	"Bo"	"Starboard"	"Bi"	"EKeppel"	"unobstructed"	32	214.49	1	NA	"HO"	0.15272573856325	0.08093231100891	48.7505619730283	-123.166607768082	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021may"	2027	"S5a"	"cemore_2021may-2027-S5a"	2021-05-14 22:15:24	2021-05-14 15:15:22	-2	"Survey sighting"	48.7340483333333	-123.163238333333	9.34	"G&E"	1	"G&E"	"Clear"	"ON"	"10"	8	"MB"	"Bo"	"Starboard"	"Bi"	"EKeppel"	"unobstructed"	19	212.59	0.5	NA	"HO"	0.273903315883427	0.0891741970518631	48.7302020022689	-123.166966087113	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021may"	2417	"S6b"	"cemore_2021may-2417-S6b"	2021-05-14 23:16:09	2021-05-14 16:16:06	-3	"Survey sighting"	48.6095533333333	-123.259296666667	9.94	"G&E"	2	"G&E"	"Clear"	"ON"	"13"	14	"MB"	"Bo"	"Starboard"	"Bi"	"CMcMillan"	"unobstructed"	54	289.33	0.75	NA	"HO"	0.195992945155979	0.158561623408784	48.610634494892	-123.263958696347	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021may"	2775	"S1a"	"cemore_2021may-2775-S1a"	2021-05-15 15:59:25	2021-05-15 08:59:28	3	"Survey sighting"	48.5100316666667	-123.265606666667	10.46	"G&E"	2	"G&E"	"Clear"	"ON"	"14"	16	"MB"	"Bo"	"Port"	"Bi"	"EKeppel"	"unobstructed"	-51	82.11	0.5	NA	"HO"	0.273903315883427	0.212862855768479	48.5106581176361	-123.258781049297	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021may"	2857	"S2a"	"cemore_2021may-2857-S2a"	2021-05-15 16:12:05	2021-05-15 09:12:02	-3	"Survey sighting"	48.483895	-123.235393333333	10.92	"G&E"	2	"G&E"	"Clear"	"ON"	"14"	18	"MB"	"Bo"	"Starboard"	"Bi"	"LSpaven"	"unobstructed"	26	161.92	0.5	NA	"HO"	0.273903315883427	0.120071310693149	48.4795553285753	-123.233256106641	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021may"	3459	"S6a"	"cemore_2021may-3459-S6a"	2021-05-15 18:15:39	2021-05-15 11:15:40	1	"Survey sighting"	48.37425	-123.283635	9.77	"G&E"	2	"G&E"	"Clear"	"ON"	"17"	22	"MB"	"Bo"	"Starboard"	"Bi"	"CMcMillan"	"unobstructed"	32	186.9	1	NA	"HO"	0.15272573856325	0.08093231100891	48.371723005726	-123.284095337204	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021may"	3469	"S7a"	"cemore_2021may-3469-S7a"	2021-05-15 18:17:19	2021-05-15 11:17:19	0	"Survey sighting"	48.3696316666667	-123.281906666667	9.9	"G&E"	2	"G&E"	"Clear"	"ON"	"17"	22	"MB"	"Bo"	"Port"	"Bi"	"LSpaven"	"unobstructed"	-2	164.8	1	NA	"HO"	0.15272573856325	0.00533005140937516	48.3671752813841	-123.280902106729	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021may"	4064	"S8a"	"cemore_2021may-4064-S8a"	2021-05-15 19:48:41	2021-05-15 12:48:42	1	"Survey sighting"	48.3946083333333	-123.217446666667	9.81	"G&E"	1	"G&E"	"Clear"	"ON"	"16"	24	"MB"	"Bo"	"Starboard"	"Bi"	"LSpaven"	"unobstructed"	23	284.03	1.5	NA	"HO"	0.106023555505053	0.0414267034889347	48.3950366925942	-123.220028548058	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	2	2	2
"cemore_2021may"	4080	"S9a"	"cemore_2021may-4080-S9a"	2021-05-15 19:51:11	2021-05-15 12:51:07	-4	"Survey sighting"	48.3938016666667	-123.227421666667	9.49	"G&E"	1	"G&E"	"Clear"	"ON"	"16"	24	"MB"	"Bo"	"Port"	"Bi"	"EKeppel"	"unobstructed"	-60	207.07	1	NA	"HO"	0.15272573856325	0.132264369407515	48.3915350731746	-123.229166104304	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021may"	4125	"S10a"	"cemore_2021may-4125-S10a"	2021-05-15 19:58:01	2021-05-15 12:58:03	2	"Survey sighting"	48.393145	-123.254586666667	8.99	"G&E"	1	"G&E"	"Clear"	"ON"	"16"	24	"MB"	"Bo"	"Port"	"Bi"	"EKeppel"	"unobstructed"	-89	178.34	2	NA	"HO"	0.0812195774714538	0.0812072073364091	48.3917919084049	-123.254527613351	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	2	2	2
"cemore_2021may"	4130	"S11a"	"cemore_2021may-4130-S11a"	2021-05-15 19:58:51	2021-05-15 12:58:52	1	"Survey sighting"	48.3931116666667	-123.25783	9.54	"G&E"	1	"G&E"	"Clear"	"ON"	"16"	24	"MB"	"Bo"	"Starboard"	"Bi"	"LSpaven"	"unobstructed"	4	272.73	1	NA	"HO"	0.15272573856325	0.0106536089721395	48.3932328405337	-123.26165904287	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021may"	4130	"S12a"	"cemore_2021may-4130-S12a"	2021-05-15 19:58:51	2021-05-15 12:58:56	5	"Survey sighting"	48.3931116666667	-123.25783	9.54	"G&E"	1	"G&E"	"Clear"	"ON"	"16"	24	"MB"	"Bo"	"Port"	"Bi"	"EKeppel"	"unobstructed"	-31	237.73	1.5	NA	"HO"	0.106023555505053	0.054606167922442	48.3921681946271	-123.26008008733	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
"cemore_2021may"	4136	"S13a"	"cemore_2021may-4136-S13a"	2021-05-15 19:59:51	2021-05-15 12:59:52	1	"Survey sighting"	48.3930766666667	-123.261766666667	9.29	"G&E"	1	"G&E"	"Clear"	"ON"	"16"	24	"MB"	"Bo"	"Port"	"Bi"	"EKeppel"	"unobstructed"	-58	213.54	0.5	NA	"HO"	0.273903315883427	0.232283185565873	48.389271629238	-123.265564902056	"Corrected"	"CANADA"	"OK"	"Harbour Porpoise"	1	1	1
